name,followname
鄭運鵬,蔡培慧、曾玟學、林靜儀、蔡易餘、賴品妤、李問、張宏陸、吳崢、牛煦庭、吳思瑤、林俊憲、趙正宇、吳琪銘、蘇治芬、王定宇、蘇巧慧、蔡其昌
牛煦庭,丁學忠、黃建賓、呂玉玲、李彥秀、謝衣鳯、林家興、鄭俊雄、廖先翔、楊瓊瓔、林國春、林金結、張智倫、林思銘、廖偉翔、李明璇、游顥、葉元之、羅廷瑋、徐巧芯、林沛祥、王鴻薇、游淑慧、黃健豪、涂權吉、張斯綱、洪孟楷、魯明哲、萬美玲、侯漢廷、丁學忠
黃世杰,林志潔、李柏毅、詹紀緹、曾聖凱、江肇國、劉仁照、蔡培慧、李坤城、李問、黃秀芳、趙正宇、謝子涵、劉櫂豪、劉建國、蘇治芬、許智傑、林岱樺、邱志偉、王定宇、林俊憲、林宜瑾、陳亭妃、郭國文、賴品妤、蘇巧慧、陳素月、邱議瑩、何欣純、陳秀寳、許淑華、鄭運鵬、鍾佳濱、賴瑞隆、李昆澤、林靜儀、彭俊豪、謝佩芬、吳秉叡、吳思瑤、莊競程、蔡易餘、吳琪銘、張宏陸、賴惠員、王美惠、蔡其昌
涂權吉,
魯明哲,邱鎮軍、徐巧芯、洪孟楷、牛煦庭、涂權吉、呂玉玲、邱若華、萬美玲
彭俊豪,黃捷、曾聖凱、王閔生、謝子涵、吳琪銘、曾柏瑜、江肇國、黃世杰、李問、范綱祥、許淑華、陳素月、劉仁照、鄭運鵬
范綱祥,
萬美玲,羅廷瑋、邱若華、涂權吉、林思銘、楊瓊瓔、李彥秀、林沛祥、牛煦庭、黃建賓、徐巧芯、傅崐萁、賴士葆、呂玉玲、江啟臣、羅智強、洪孟楷、王鴻薇、魯明哲
黃明莉,
劉仁照,林俊憲、吳崢、蔡培慧、黃捷、林岱樺、曾聖凱、李坤城、何博文、吳音寧、謝子涵、王閔生、曾柏瑜、許淑華、李柏毅、范綱祥、莊競程、陳秀寳、劉建國、陳亭妃、江肇國、吳思瑤、黃世杰、王世堅、彭俊豪、林俊憲
呂玉玲,
賴香伶,
趙正宇,
邱若華,
許瑞貴,劉櫂豪、魯明哲、吳秉叡、羅智強
黃建賓,邱鎮軍、林思銘、葉元之、廖先翔、呂玉玲、謝衣鳯、楊瓊瓔、萬美玲、江啟臣、徐巧芯、羅智強、洪孟楷、丁學忠、涂權吉、牛煦庭、林沛祥、王鴻薇、林家興、黃健豪、賴士葆、鍾易仲、李明璇、廖偉翔、張智倫、邱若華、游顥
劉櫂豪,陳亭妃、蔡其昌、蘇治芬、邱志偉、高嘉瑜、吳沛憶、賴品妤、邱臣遠、許智傑、鍾佳濱、李昆澤、蔡易餘
徐百弟,楊時睿
何博文,劉建國、何欣純、林俊憲、張美慧、彭俊豪、劉仁照、江肇國、李坤城、鄭運鵬、林靜儀、賴品妤、苗博雅、王定宇、吳思瑤、陳亭妃、蔡其昌、許淑華、吳音寧、蘇巧慧
洪孟楷,邱志偉、葉元之、廖先翔、黃建賓、黃健豪、林國春、侯漢廷、張智倫、呂玉玲、林思銘、鄭正鈐、李明璇、魯明哲、謝衣鳯、楊瓊瓔、萬美玲、顏寬恒、徐巧芯、張斯綱、羅明才、林德福、江啟臣、羅智強
翁藤原,
林淑芬,苗博雅、吳音寧、王定宇、蔡其昌、蘇巧慧、李昆澤
李有宜,洪佳君、徐巧芯、侯漢廷、游淑慧、林金結、蔡明堂、蔡壁如、賴香伶、林淑芬、曾尹儷、洪孟楷、牛煦庭、林家興、于美人、鄭正鈐、邱臣遠、李彥秀、羅廷瑋、李明璇、羅智強、蔡易餘
蔡明堂,邱議瑩、李明璇、羅廷瑋、廖偉翔、張智倫、林家興、林金結、王鴻薇、羅智強、徐巧芯
